"V1","V2"
4616000,5014000
4616000,4844000
4716000,5074000
4506000,4844000
4626000,4944000
4676000,5054000
4186000,4114000
4636000,4864000
4166000,4094000
4556000,4854000
4596000,4794000
4756000,5074000
4256000,4364000
4226000,4184000
4526000,4844000
4676000,4914000
4256000,4374000
4876000,5254000
4196000,4124000
4826000,5184000
4196000,4284000
4546000,4734000
4616000,4884000
4656000,5054000
4526000,4684000
4316000,4314000
4786000,5114000
4156000,4084000
4616000,4974000
4606000,4974000
4516000,4774000
4836000,5174000
4276000,4374000
4236000,4344000
4206000,4274000
4706000,4924000
4756000,5084000
4576000,4854000
4716000,5174000
4626000,4854000
4806000,5244000
4166000,4184000
4186000,4104000
4946000,5294000
4146000,4104000
4216000,4234000
4206000,4124000
4206000,4114000
4686000,4924000
4256000,4264000
4656000,5084000
4716000,4984000
4866000,5154000
4196000,4134000
4166000,4174000
4756000,5064000
4866000,5204000
4886000,5264000
4596000,4854000
4796000,5144000
4616000,4994000
4726000,5014000
4566000,4774000
4766000,5084000
4866000,5134000
4196000,4334000
4706000,5044000
4606000,4964000
4666000,4904000
4926000,5274000
4156000,4294000
4786000,5104000
4226000,4304000
4736000,5074000
4886000,5244000
4816000,5194000
4636000,4874000
4226000,4194000
4526000,4674000
4716000,5094000
4786000,5174000
4186000,4094000
4176000,4204000
4176000,4104000
4556000,4774000
4196000,4084000
4846000,5194000
4806000,5114000
4866000,5214000
4806000,5224000
4196000,4144000
4846000,5204000
4616000,4784000
4146000,4134000
4746000,5074000
4726000,5084000
4716000,5124000
4846000,5174000
4176000,4144000
4206000,4354000
4886000,5134000
4606000,4804000
4226000,4344000
4696000,4964000
4196000,4114000
4636000,4984000
4196000,4104000
4876000,5154000
4946000,5284000
4846000,5184000
4636000,5034000
4796000,5104000
4536000,4734000
4216000,4324000
4716000,4974000
4766000,5064000
4776000,5114000
4816000,5224000
4606000,4874000
4826000,5224000
4876000,5124000
4776000,5084000
4206000,4174000
4786000,5084000
4226000,4204000
4766000,5074000
4726000,5024000
4176000,4294000
4816000,5174000
4576000,4864000
4596000,4884000
4616000,4934000
4506000,4684000
4206000,4154000
4226000,4234000
4796000,5174000
4856000,5214000
4796000,5164000
4256000,4384000
4936000,5294000
4586000,4774000
4226000,4244000
4796000,5084000
4856000,5224000
4176000,4214000
4196000,4354000
4296000,4324000
4596000,4844000
4166000,4134000
4816000,5184000
4876000,5174000
4876000,5164000
4676000,5094000
4156000,4074000
4276000,4344000
4786000,5074000
4556000,4834000
4886000,5144000
4626000,4954000
4616000,4874000
4846000,5214000
4516000,4854000
4716000,4964000
4616000,4794000
4706000,4914000
4256000,4254000
